ID,logFC,AveExpr,t,P.Value,adj.P.Value,B,label
TMEM140,4.234642937,378.0645729,17.97685455,2.95805E-72,2.57882E-70,30,yes
STX11,4.230274463,2312.835797,31.18979501,1.4653E-213,4.4444E-211,30,yes
CD83,4.222939009,228.6566342,14.86789792,5.32595E-50,3.38605E-48,30,yes
VWA5A,4.206090045,1814.280409,24.73848136,4.1246E-135,7.1489E-133,30,yes
SLC7A2,4.194338781,2705.287732,29.90654706,1.6176E-196,3.9915E-194,30,yes
RGS14,-4.183923807,567.5644356,-19.42863344,4.41973E-84,4.43771E-82,30,yes
SEMA3A,4.170145333,800.169626,22.78267711,6.81E-115,9.6259E-113,30,yes
CXCL8,4.153719278,9767.235793,27.74225345,2.1609E-169,4.4944E-167,30,yes
SLC2A2,-4.152746228,372.6068447,-16.42223583,1.3259E-60,9.70037E-59,30,yes
TRANK1,4.137939835,6542.723665,30.06764415,1.2839E-198,3.2228E-196,30,yes
RPL17,-4.12935083,143.2778878,-11.09992527,1.25549E-28,4.94018E-27,30,yes
IL6,4.07245212,3141.959049,31.08801154,3.4979E-212,1.0185E-209,30,yes
CSDC2,-4.062118369,186.7835654,-12.940248,2.66767E-38,1.31656E-36,30,yes
TNFSF15,4.054337484,19426.56665,31.07979039,4.5176E-212,1.2896E-209,30,yes
HSH2D,4.05024066,243.5086074,14.73102833,4.07458E-49,2.53512E-47,30,yes
IRF1,4.035192517,5665.56323,31.61298698,2.4481E-219,8.2888E-217,30,yes
PLA1A,4.026146521,583.8111253,20.97962863,1.00677E-97,1.15413E-95,30,yes
STAT2,3.995257154,3935.323943,31.78357459,1.0917E-221,3.7844E-219,30,yes
CYP7A1,-3.993617637,128.8707176,-10.18896375,2.22119E-24,7.77364E-23,30,yes
PRKG2,-3.990663582,93.64584439,-9.158650387,5.25504E-20,1.56779E-18,30,yes
IL20,3.987388052,90.71882292,9.639398684,5.45063E-22,1.75178E-20,30,yes
NCCRP1,3.985186622,468.7057297,16.6038227,6.53905E-62,5.01064E-60,30,yes
ETV7,3.978412842,922.9890652,23.39873172,4.4025E-121,6.6079E-119,30,yes
RCSD1,3.970102511,273.4085562,14.93775431,1.87177E-50,1.2058E-48,30,yes
PRDM1,3.927282505,760.5210832,19.66529874,4.27641E-86,4.44716E-84,30,yes
ENSSSCG00000026454,3.922240268,8828.486942,28.30671471,2.8571E-176,6.0284E-174,30,yes
GABRP,3.90999495,5846.467051,31.92106544,1.3624E-223,5.2197E-221,30,yes
BATF2,3.896078754,2797.572713,24.62529263,6.7712E-134,1.1598E-131,30,yes
LAX1,3.867464284,191.4836291,12.44323982,1.52203E-35,6.99028E-34,30,yes
MYO1G,3.866055058,83.86731896,8.839077197,9.65124E-19,2.72311E-17,30,yes
CRYBG2,-3.808123059,161.2765331,-11.57136295,5.75609E-31,2.40813E-29,30,yes
IL19,3.799274323,925.5125704,17.86449003,2.2296E-71,1.90946E-69,30,yes
C1orf115,3.79629222,1033.043958,21.64237664,7.171E-104,8.7002E-102,30,yes
AQP3,-3.796210952,93.09038198,-8.978259696,2.75083E-19,7.93057E-18,30,yes
CLMP,3.776465608,331.5435014,16.24698677,2.34616E-59,1.69939E-57,30,yes
MAMDC2,3.76851491,1693.741499,22.93351929,2.1521E-116,3.1022E-114,30,yes
RGS4,3.743048929,345.3953929,14.54859435,5.96155E-48,3.57178E-46,30,yes
SHAS2,3.740030542,108.934972,9.578489573,9.84745E-22,3.13033E-20,30,yes
RHEBL1,3.729881627,98.80611177,9.66867144,4.09661E-22,1.33131E-20,30,yes
SNRK,3.727688465,7225.767612,28.79273046,2.6451E-182,6.0172E-180,30,yes
PCDH18,3.697393029,168.811163,11.27086315,1.82769E-29,7.41208E-28,30,yes
PARP14,3.697218535,14319.87152,29.7627667,1.1855E-194,2.8767E-192,30,yes
DCHS1,-3.687696574,298.2025523,-14.25499711,4.1732E-46,2.41101E-44,30,yes
CXCL2,3.685817824,1666.223235,26.08685901,5.1396E-150,1.025E-147,30,yes
ENSSSCG00000023710,-3.684612234,134.8322654,-10.30864687,6.44017E-25,2.28689E-23,30,yes
RNF19B,3.681951241,3534.401413,24.20652648,1.8991E-129,3.0722E-127,30,yes
NUAK2,3.674386875,1012.311536,20.80917808,3.5742E-96,4.06537E-94,30,yes
WARS,3.669568151,9301.013646,29.62206864,7.7679E-193,1.854E-190,30,yes
TLR10,-3.6670346,273.0876658,-14.06856267,5.92616E-45,3.33124E-43,30,yes
